run_idx,step,action,new_item,score,inventory_size,ingredients,final_reward,domain
3,12,"('frame', '[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]')","('[frame]-[[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]]', 115)",115,7,"[('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100), ('[pen]-[[scissors]-[[paint]-[ribbon]]]', 55), ('[frame]-[[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]]', 115)]",160,decorations
3,13,"('frame', '[pen]-[[scissors]-[[paint]-[ribbon]]]')","('[frame]-[[pen]-[[scissors]-[[paint]-[ribbon]]]]', 80)",115,7,"[('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100), ('[frame]-[[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]]', 115), ('[frame]-[[pen]-[[scissors]-[[paint]-[ribbon]]]]', 80)]",160,decorations
3,14,"('[frame]-[[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]]', '[frame]-[[pen]-[[scissors]-[[paint]-[ribbon]]]]')","('[[frame]-[[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]]]-[[frame]-[[pen]-[[scissors]-[[paint]-[ribbon]]]]]', 160)",160,6,"[('[paint]-[[shell]-[[scissors]-[[pen]-[paper]]]]', 100), ('[[frame]-[[[frame]-[acorn]]-[[frame]-[[pen]-[[paint]-[newspaper]]]]]]-[[frame]-[[pen]-[[scissors]-[[paint]-[ribbon]]]]]', 160)]",160,decorations
4,0,"('flower', 'thread')","('[flower]-[thread]', 30)",30,8,"[('leaf', 0), ('paper', 0), ('acorn', 0), ('[flower]-[thread]', 30)]",135,decorations
4,1,"('scissors', '[flower]-[thread]')","('[scissors]-[[flower]-[thread]]', 70)",70,8,"[('leaf', 0), ('paper', 0), ('acorn', 0), ('[scissors]-[[flower]-[thread]]', 70)]",135,decorations
4,2,"('paint', '[scissors]-[[flower]-[thread]]')","('[paint]-[[scissors]-[[flower]-[thread]]]', 100)",100,8,"[('leaf', 0), ('paper', 0), ('acorn', 0), ('[paint]-[[scissors]-[[flower]-[thread]]]', 100)]",135,decorations
4,3,"('scissors', 'paper')","('[scissors]-[paper]', 20)",100,8,"[('leaf', 0), ('acorn', 0), ('[paint]-[[scissors]-[[flower]-[thread]]]', 100), ('[scissors]-[paper]', 20)]",135,decorations
4,4,"('paint', '[scissors]-[paper]')","('[paint]-[[scissors]-[paper]]', 35)",100,8,"[('leaf', 0), ('acorn', 0), ('[paint]-[[scissors]-[[flower]-[thread]]]', 100), ('[paint]-[[scissors]-[paper]]', 35)]",135,decorations
4,5,"('frame', '[paint]-[[scissors]-[paper]]')","('[frame]-[[paint]-[[scissors]-[paper]]]', 60)",100,8,"[('leaf', 0), ('acorn', 0), ('[paint]-[[scissors]-[[flower]-[thread]]]', 100), ('[frame]-[[paint]-[[scissors]-[paper]]]', 60)]",135,decorations
4,6,"('[paint]-[[scissors]-[[flower]-[thread]]]', '[frame]-[[paint]-[[scissors]-[paper]]]')","('[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]', 125)",125,7,"[('leaf', 0), ('acorn', 0), ('[[paint]-[[scissors]-[[flower]-[thread]]]]-[[frame]-[[paint]-[[scissors]-[paper]]]]', 125)]",135,decorations
