run_idx,step,action,new_item,score,inventory_size,ingredients,final_reward,domain
5,11,"('stove', '[water]-[raw fish]')","('[stove]-[[water]-[raw fish]]', 10)",180,7,"[('[[salt]-[[stove]-[[knife]-[[mushroom]-[pepper]]]]]-[[salt]-[pineapple]]', 180), ('[salt]-[[water]-[cheese]]', 5), ('[stove]-[[water]-[raw fish]]', 10)]",180,cooking
5,12,"('stove', '[salt]-[[water]-[cheese]]')","('[stove]-[[salt]-[[water]-[cheese]]]', -5)",180,7,"[('[[salt]-[[stove]-[[knife]-[[mushroom]-[pepper]]]]]-[[salt]-[pineapple]]', 180), ('[stove]-[[water]-[raw fish]]', 10), ('[stove]-[[salt]-[[water]-[cheese]]]', -5)]",180,cooking
5,13,"('water', '[stove]-[[water]-[raw fish]]')","('[water]-[[stove]-[[water]-[raw fish]]]', -15)",180,7,"[('[[salt]-[[stove]-[[knife]-[[mushroom]-[pepper]]]]]-[[salt]-[pineapple]]', 180), ('[stove]-[[salt]-[[water]-[cheese]]]', -5), ('[water]-[[stove]-[[water]-[raw fish]]]', -15)]",180,cooking
5,14,"('water', '[water]-[[stove]-[[water]-[raw fish]]]')","('[water]-[[stove]-[[water]-[raw fish]]]', -15)",180,7,"[('[[salt]-[[stove]-[[knife]-[[mushroom]-[pepper]]]]]-[[salt]-[pineapple]]', 180), ('[stove]-[[salt]-[[water]-[cheese]]]', -5), ('[water]-[[stove]-[[water]-[raw fish]]]', -15)]",180,cooking
6,0,"('knife', 'lettuce')","('[knife]-[lettuce]', 15)",15,9,"[('egg', 0), ('onion', 0), ('pineapple', 0), ('apple', 0), ('[knife]-[lettuce]', 15)]",160,cooking
6,1,"('egg', '[knife]-[lettuce]')","('[egg]-[[knife]-[lettuce]]', 35)",35,8,"[('onion', 0), ('pineapple', 0), ('apple', 0), ('[egg]-[[knife]-[lettuce]]', 35)]",160,cooking
6,2,"('onion', '[egg]-[[knife]-[lettuce]]')","('[onion]-[[egg]-[[knife]-[lettuce]]]', 55)",55,7,"[('pineapple', 0), ('apple', 0), ('[onion]-[[egg]-[[knife]-[lettuce]]]', 55)]",160,cooking
6,3,"('salt', '[onion]-[[egg]-[[knife]-[lettuce]]]')","('[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]', 115)",115,7,"[('pineapple', 0), ('apple', 0), ('[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]', 115)]",160,cooking
6,4,"('knife', '[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]')","('[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]', 120)",120,7,"[('pineapple', 0), ('apple', 0), ('[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]', 120)]",160,cooking
6,5,"('stove', 'apple')","('[stove]-[apple]', -10)",120,7,"[('pineapple', 0), ('[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]', 120), ('[stove]-[apple]', -10)]",160,cooking
6,6,"('stove', '[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]')","('[stove]-[[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]]', 160)",160,7,"[('pineapple', 0), ('[stove]-[apple]', -10), ('[stove]-[[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]]', 160)]",160,cooking
6,7,"('salt', '[stove]-[apple]')","('[salt]-[[stove]-[apple]]', 10)",160,7,"[('pineapple', 0), ('[stove]-[[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]]', 160), ('[salt]-[[stove]-[apple]]', 10)]",160,cooking
6,8,"('knife', '[stove]-[[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]]')","('[knife]-[[stove]-[[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]]]', 160)",160,7,"[('pineapple', 0), ('[salt]-[[stove]-[apple]]', 10), ('[knife]-[[stove]-[[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]]]', 160)]",160,cooking
6,9,"('salt', '[salt]-[[stove]-[apple]]')","('[salt]-[[salt]-[[stove]-[apple]]]', -30)",160,7,"[('pineapple', 0), ('[knife]-[[stove]-[[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]]]', 160), ('[salt]-[[salt]-[[stove]-[apple]]]', -30)]",160,cooking
6,10,"('knife', '[knife]-[[stove]-[[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]]]')","('[knife]-[[knife]-[[stove]-[[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]]]]', 160)",160,7,"[('pineapple', 0), ('[salt]-[[salt]-[[stove]-[apple]]]', -30), ('[knife]-[[knife]-[[stove]-[[knife]-[[salt]-[[onion]-[[egg]-[[knife]-[lettuce]]]]]]]]', 160)]",160,cooking
